worker,,score1,score2,score3,score4,score5,,size1,size2,size3,size4,size5,,comparison
1,,7,9,9,10,4,,100,188,234,293,150,,1
2,,4,8,9,10,5,,100,188,234,293,150,,2
3,,7,9,10,10,4,,150,188,234,293,100,,1
4,,9,10,10,10,4,,150,188,234,293,100,,1
5,,7,8,9,10,3,,150,188,234,293,100,,1
6,,8,10,10,10,2,,100,188,234,293,150,,1
7,,8,10,10,10,4,,100,188,234,293,150,,1
8,,9,10,10,10,4,,150,188,234,293,100,,1
9,,7,8,9,10,5,,150,188,234,293,100,,1
10,,6,9,10,10,5,,100,188,234,293,150,,1
11,,7,9,10,10,4,,150,188,234,293,100,,1
12,,8,10,10,10,5,,100,188,234,293,150,,2
13,,10,10,10,10,8,,100,188,234,293,150,,2
14,,8,9,10,8,3,,150,188,234,293,100,,1
15,,5,8,8,9,6,,100,188,234,293,150,,2
16,,8,10,10,10,4,,100,188,234,293,150,,1
17,,8,9,10,10,3,,150,188,234,293,100,,1
18,,10,10,10,8,5,,100,188,234,293,150,,2
19,,9,10,10,10,1,,150,188,234,293,100,,1
20,,6,9,10,10,5,,100,188,234,293,150,,1
21,,10,10,10,10,4,,150,188,234,293,100,,1
22,,8,9,10,10,5,,150,188,234,293,100,,1
23,,5,9,10,10,4,,100,188,234,293,150,,1
24,,7,8,9,9,3,,150,188,234,293,100,,1
25,,8,8,9,10,3,,150,188,234,293,100,,1
26,,6,7,8,9,3,,150,188,234,293,100,,1
27,,6,9,10,10,4,,100,188,234,293,150,,2
28,,7,10,10,10,6,,100,188,234,293,150,,2
29,,10,9,10,8,1,,150,188,234,293,100,,1
30,,9,7,8,10,4,,150,188,234,293,100,,1
31,,5,6,8,9,3,,100,188,234,293,150,,1
32,,4,7,8,9,4,,100,188,234,293,150,,1
33,,6,8,9,10,3,,150,188,234,293,100,,1
34,,9,10,10,10,3,,150,188,234,293,100,,1
35,,8,10,10,10,6,,100,188,234,293,150,,1
36,,5,9,10,10,7,,100,188,234,293,150,,2
37,,4,8,9,10,7,,100,188,234,293,150,,2
38,,9,10,10,10,6,,150,188,234,293,100,,1
39,,8,9,10,10,2,,150,188,234,293,100,,1
40,,7,10,10,10,6,,100,188,234,293,150,,2
41,,6,8,9,9,5,,100,188,234,293,150,,2
42,,7,9,9,10,4,,100,188,234,293,150,,1
43,,7,8,9,10,2,,150,188,234,293,100,,1
44,,7,8,9,10,5,,100,188,234,293,150,,1
45,,6,10,10,10,4,,100,188,234,293,150,,1
46,,8,10,10,10,6,,100,188,234,293,150,,1
47,,7,8,9,10,4,,150,188,234,293,100,,1
48,,7,10,10,10,8,,100,188,234,293,150,,1
49,,8,9,10,10,4,,150,188,234,293,100,,2
50,,8,9,10,10,4,,150,188,234,293,100,,1
51,,6,10,10,10,4,,100,188,234,293,150,,2
52,,10,10,10,10,1,,150,188,234,293,100,,1
53,,8,9,10,10,4,,150,188,234,293,100,,1
54,,4,7,8,9,4,,100,188,234,293,150,,1
55,,9,10,10,10,3,,150,188,234,293,100,,1
56,,4,9,10,10,4,,100,188,234,293,150,,2
57,,10,10,10,10,1,,150,188,234,293,100,,1
58,,7,8,9,10,2,,150,188,234,293,100,,1
59,,6,8,9,10,4,,150,188,234,293,100,,1
60,,9,10,10,10,4,,150,188,234,293,100,,1
61,,8,9,10,10,5,,100,188,234,293,150,,1
62,,9,10,10,10,3,,150,188,234,293,100,,1
63,,10,10,10,10,2,,150,188,234,293,100,,1
64,,5,9,10,10,6,,100,188,234,293,150,,2
65,,5,8,9,9,4,,100,188,234,293,150,,1
66,,3,6,3,2,7,,150,188,234,293,100,,2
67,,5,8,9,10,4,,100,188,234,293,150,,1
68,,4,7,8,10,5,,100,188,234,293,150,,2
69,,8,8,9,9,5,,150,188,234,293,100,,1
70,,10,10,10,10,6,,100,188,234,293,150,,2
71,,5,6,7,8,3,,150,188,234,293,100,,1
72,,4,9,10,10,5,,100,188,234,293,150,,2
73,,10,9,10,10,7,,150,188,234,293,100,,1
74,,10,6,7,8,4,,150,188,234,293,100,,1
75,,8,9,10,10,5,,150,188,234,293,100,,1
76,,7,9,9,10,5,,100,188,234,293,150,,2
77,,8,9,10,10,5,,100,188,234,293,150,,2
78,,5,6,7,9,3,,150,188,234,293,100,,1
79,,8,9,10,10,4,,100,188,234,293,150,,1
80,,7,8,9,9,2,,150,188,234,293,100,,1
81,,6,8,9,10,3,,150,188,234,293,100,,1
82,,8,10,10,10,7,,100,188,234,293,150,,2
83,,9,10,10,10,2,,150,188,234,293,100,,1
84,,7,9,10,10,6,,100,188,234,293,150,,1
85,,6,10,10,10,5,,100,188,234,293,150,,2
86,,9,10,10,10,5,,100,188,234,293,150,,1
87,,6,9,10,10,6,,100,188,234,293,150,,2
88,,8,9,10,10,4,,150,188,234,293,100,,1
89,,8,10,10,10,6,,100,188,234,293,150,,2
90,,6,6,8,9,3,,150,188,234,293,100,,1
91,,5,6,8,9,2,,150,188,234,293,100,,1
92,,8,9,9,10,3,,150,188,234,293,100,,1
93,,7,9,9,10,6,,100,188,234,293,150,,1
94,,8,7,6,9,2,,150,188,234,293,100,,1
95,,6,9,9,10,4,,100,188,234,293,150,,1
96,,4,10,10,10,6,,100,188,234,293,150,,2
97,,4,9,10,10,6,,100,188,234,293,150,,2
98,,6,7,8,9,3,,150,188,234,293,100,,1
99,,6,8,8,9,4,,150,188,234,293,100,,2
100,,7,9,10,10,5,,100,188,234,293,150,,1
