worker,,score1,score2,score3,score4,score5,,size1,size2,size3,size4,size5
1,,3,10,8,10,2,,32,108,72,162,48
2,,2,9,1,10,3,,48,108,32,162,72
3,,5,1,3,2,9,,108,32,72,48,162
4,,3,4,7,8,4,,32,48,108,162,72
5,,6,2,1,4,2,,162,72,32,108,48
6,,3,6,2,8,8,,48,72,32,162,108
7,,5,3,8,4,9,,72,32,108,48,162
8,,9,6,2,3,4,,162,108,32,48,72
9,,6,7,3,4,9,,72,108,32,48,162
10,,6,3,9,7,2,,72,48,162,108,32
11,,6,3,4,2,9,,108,48,72,32,162
12,,4,1,2,2,3,,162,32,108,48,72
13,,4,8,6,5,3,,48,162,108,72,32
14,,2,8,3,5,10,,32,108,48,72,162
15,,2,9,1,7,2,,48,162,32,108,72
16,,6,1,3,2,4,,162,32,72,48,108
17,,5,8,2,1,3,,108,162,48,32,72
18,,10,6,3,1,2,,162,108,72,32,48
19,,8,4,10,2,4,,108,48,162,32,72
20,,5,2,9,4,5,,108,32,162,48,72
21,,6,3,1,2,9,,108,72,32,48,162
22,,7,2,1,8,5,,108,48,32,162,72
23,,3,6,4,8,10,,32,72,48,108,162
24,,6,4,3,8,9,,72,48,32,108,162
25,,5,4,9,8,7,,48,32,162,108,72
26,,4,6,8,6,10,,32,48,108,72,162
27,,8,4,1,10,1,,108,72,32,162,48
28,,4,7,5,2,2,,72,162,108,32,48
29,,5,10,6,4,3,,32,162,108,72,48
30,,4,2,9,9,1,,72,48,108,162,32
31,,5,2,4,8,10,,72,32,48,108,162
32,,4,10,5,2,8,,48,162,72,32,108
33,,6,3,9,1,1,,108,72,162,48,32
34,,6,9,3,4,7,,72,162,32,48,108
35,,3,4,5,7,5,,32,48,72,162,108
36,,3,8,9,6,4,,32,108,162,72,48
37,,3,5,7,9,2,,32,72,108,162,48
38,,3,8,4,6,3,,32,162,72,108,48
39,,9,3,2,6,1,,162,72,48,108,32
40,,4,6,8,2,1,,72,108,162,48,32
41,,7,9,3,2,10,,72,108,48,32,162
42,,3,8,10,1,3,,48,108,162,32,72
43,,10,1,3,1,6,,162,48,72,32,108
44,,7,4,9,2,3,,108,72,162,32,48
45,,8,10,4,2,1,,108,162,72,48,32
